"id"|"site"|"lon"|"lat"|"x"|"y"|"norm"|"hex"
"1001530"|"Straubing"|"12.56667"|"48.816669"|"-1.86630"|"0.26760"|"0"|"#310769"
"1000255"|"Butzbach"|"8.665183"|"50.439681"|"-1.78325"|"0.04937"|"2.18373909774"|"#300c6c"
"1000838"|"Echzell"|"8.883176"|"50.393087"|"-1.67723"|"0.12323"|"4.97145757025"|"#2f1370"
"1000737"|"Saalburg"|"8.566659"|"50.271522"|"-1.55414"|"0.04678"|"8.20801922637"|"#2d1b75"
"1003439"|"Wien"|"16.37208"|"48.20849"|"-1.50726"|"0.04185"|"9.44069458943"|"#2c1e77"
"1000346"|"Bad Cannstatt"|"9.2145"|"48.8048"|"-1.48992"|"0.12792"|"9.89663722585"|"#2c2077"
"1000928"|"Stockstadt"|"9.064167"|"49.976943"|"-1.41234"|"0.04588"|"11.9365466684"|"#2b257a"
"1001539"|"Faimingen"|"10.399999"|"48.566669"|"-1.40263"|"0.03150"|"12.1918640271"|"#2b257b"
"1001619"|"Oberflorstadt"|"8.866666"|"50.333332"|"-1.21704"|"0.02070"|"17.0718175388"|"#293182"
"1000157"|"Friedberg"|"8.753502"|"50.341669"|"-1.07191"|"0.01048"|"20.8879048989"|"#273b87"
"1001423"|"Marköbel"|"8.9833"|"50.2167"|"-1.06321"|"0.02231"|"21.1166650452"|"#273b88"
"1002130"|"Baden-Baden"|"8.239792"|"48.7598"|"-1.03732"|"0.12978"|"21.7974236875"|"#263d89"
"1003222"|"Hanau-Salisberg"|"8.93"|"50.133338"|"-1.02734"|"0.05157"|"22.059840499"|"#263e89"
"1001054"|"Okarben"|"8.75"|"50.25"|"-0.93127"|"-0.00927"|"24.5859309881"|"#25448d"
"1002500"|"Heidelberg"|"8.699999"|"49.416671"|"-0.92938"|"0.05503"|"24.6356271578"|"#25448d"
"1000983"|"Arnsburg"|"8.784294"|"50.487393"|"-0.91754"|"0.04049"|"24.9469513109"|"#25458d"
"1001351"|"Voorburg"|"4.349213"|"52.060064"|"-0.91491"|"-0.00231"|"25.0161052402"|"#25458e"
"1000828"|"Wels"|"14.033329"|"48.166671"|"-0.88494"|"-0.01237"|"25.8041445028"|"#24478f"
"1003271"|"Bickenbach"|"7.533333"|"50.116667"|"-0.87661"|"-0.02326"|"26.0231757693"|"#24488f"
"1001392"|"Weissenburg"|"10.9624"|"49.030803"|"-0.87508"|"0.00051"|"26.0634060019"|"#24488f"
"1003948"|"Rottweil"|"8.62719"|"48.16783"|"-0.85200"|"0.05420"|"26.6702777464"|"#244990"
"1003289"|"Heddernheim"|"8.646584"|"50.159333"|"-0.84954"|"0.01429"|"26.7349616498"|"#244990"
"1003944"|"Rossum"|"5.333333"|"51.799999"|"-0.81077"|"0.27893"|"27.7543904857"|"#234c92"
"1001327"|"Günzburg"|"10.26667"|"48.45"|"-0.76888"|"0.31636"|"28.855857443"|"#234f93"
"1000376"|"Regensburg"|"12.09556"|"49.014999"|"-0.67870"|"0.01303"|"31.2270746836"|"#225497"
"1004142"|"Epfach"|"10.916669"|"47.916671"|"-0.60883"|"-0.01246"|"33.0642553068"|"#215999"
"1001186"|"Schleitheim"|"8.48213"|"47.74818"|"-0.60856"|"0.11814"|"33.0713547597"|"#215999"
"1002839"|"Monterberg"|"6.304722"|"51.721389"|"-0.59499"|"0.60332"|"33.4281679993"|"#215a9a"
"1001028"|"Gellep"|"6.683333"|"51.333332"|"-0.56148"|"0.22228"|"34.3092889767"|"#205c9b"
"1001030"|"Geislingen"|"8.81241"|"48.28768"|"-0.55202"|"-0.03685"|"34.5580327679"|"#205d9b"
